Source.Country,Event.Date,affinity,GDP.growth.(annual.%).[NY.GDP.MKTP.KD.ZG],GDP.per.capita.growth.(annual.%).[NY.GDP.PCAP.KD.ZG],"Current.health.expenditure.per.capita,.PPP.(current.international.$).[SH.XPD.CHEX.PP.CD]",Current.health.expenditure.(%.of.GDP).[SH.XPD.CHEX.GD.ZS],"GDP.per.capita,.PPP.(constant.2017.international.$).[NY.GDP.PCAP.PP.KD]","GDP,.PPP.(constant.2017.international.$).[NY.GDP.MKTP.PP.KD]","Government.expenditure.on.education,.total.(%.of.government.expenditure).[SE.XPD.TOTL.GB.ZS]",Total.natural.resources.rents.(%.of.GDP).[NY.GDP.TOTL.RT.ZS],Proportion.of.seats.held.by.women.in.national.parliaments.(%).[SG.GEN.PARL.ZS],Women.Business.and.the.Law.Index.Score.(scale.1-100).[SG.LAW.INDX],"Life.expectancy.at.birth,.total.(years).[SP.DYN.LE00.IN]","Mortality.rate,.infant.(per.1,000.live.births).[SP.DYN.IMRT.IN]",Research.and.development.expenditure.(%.of.GDP).[GB.XPD.RSDV.GD.ZS],High-technology.exports.(%.of.manufactured.exports).[TX.VAL.TECH.MF.ZS],Individuals.using.the.Internet.(%.of.population).[IT.NET.USER.ZS],ICT.goods.exports.(%.of.total.goods.exports).[TX.VAL.ICTG.ZS.UN],ICT.goods.imports.(%.total.goods.imports).[TM.VAL.ICTG.ZS.UN],"ICT.service.exports.(%.of.service.exports,.BoP).[BX.GSR.CCIS.ZS]",Gini.index.[SI.POV.GINI],Ease.of.doing.business.score.(0.=.lowest.performance.to.100.=.best.performance).[IC.BUS.DFRN.XQ],Military.expenditure.(%.of.general.government.expenditure).[MS.MIL.XPND.ZS],Goods.Value.of.Trade.Balance.US.Dollars,Total.Score,Political.Rights,Civil.Liberties
Finland,2019,2.1759999999999997,1.22,1.11,4710.22,9.15,48583.43,268258580618.65,12.04,0.37,47,97.5,81.98,1.9,2.8,9.21,89.61,2.58,7.06,33.8,27.7,80.18,2.53,3943466309,100,40,60
France,2015,2.3941520467836255,1.11,0.75,4682.67,11.45,43345.79,2884587185274.82,9.62,0.04,26.17,100,82.32,3.2,2.23,28.18,78.01,4.02,6.67,6.74,32.7,76.15,3.3,5084692752,89,38,51
France,2016,1.4347607052896725,1.1,0.83,4930.49,11.47,43705.15,2916186811083.79,9.56,0.04,26.17,100,82.57,3.2,2.22,27.91,79.27,3.98,6.67,7.01,31.9,76.25,3.38,3688264983,89,38,51
France,2017,1.5857142857142856,2.29,1.99,5059.99,11.33,44577.06,2983008898740.32,9.65,0.04,38.99,100,82.58,3.3,2.2,26,80.5,3.93,6.51,6.77,31.6,76.01,3.38,5948669103,89,38,51
France,2018,1.083542039355993,1.87,1.5,5220.8,11.19,45245.96,3038643985600.27,9.72,0.04,39.58,100,82.68,3.4,2.2,25.92,82.04,3.96,6.14,7.29,32.4,76.78,3.31,10204901021,89,38,51
France,2019,1.0412322274881516,1.84,1.5,5492.53,11.06,45922.79,3094645337796.63,9.67,0.03,39.69,100,82.83,3.4,2.19,26.91,83.34,3.79,6.18,6.65,31.2,76.8,3.32,10689717056,89,38,51
Georgia,2015,1.005327868852459,3.02,2.86,830.73,7.42,12605.14,46957625778.73,11.12,0.54,11.33,79.38,73.3,9.3,0.3,5.79,47.57,1.04,4.79,1.46,36.5,78.3,7.29,-150030338,58,22,36
Georgia,2016,1.6858490566037736,2.91,2.84,954.52,8,12963.74,48322420424.54,12.67,0.58,16,79.38,73.57,9.1,0.29,3.45,58.46,0.45,4.64,1.7,36.6,80.79,7.34,-162538580,58,22,36
Georgia,2017,0.9897727272727272,4.84,4.83,892.01,7.06,13589.71,50662483514.4,12.95,0.48,16,79.38,73.57,8.9,0.27,2.97,59.71,0.56,5.7,2.25,37.9,83.01,7.14,-209692944,58,22,36
Georgia,2018,1.4322175732217572,4.84,4.88,967.11,7.11,14253.41,53116027002.79,12.95,0.47,16,79.38,73.34,8.8,0.28,3.12,62.72,0.45,5.07,1.88,36.4,83.5,6.98,-341083174,58,22,36
